Map,Description
Haven of Mooseville (World Overview),Full valley composite with town + biome callouts
Mooseville Town Districts,8-district town layout
Emerald Forest,"Hollow Cedar, Nurse Log Gallery, Bear Territory, Amber Glade"
Golden Meadow,"Lone Oak, Wildflower Meadow, Star Watching Flat, Deer Crossing"
Crystal Lakeshore,"Stone Dock, Reed Beds, Center Island, Observation Rock, Melt Pool"
Marsh Shallows,"Beaver Dams, Raised Root Paths, Sunken Log Platform, Oldest Tree"
Ancient Ruins,"Foundation Grid, Survey Station A, Moss Inscription, Eagle Lookout"
High Shelf,"Impact Crater, Primary Sky-Stone Deposit, Valley Overlook"
Sealed Eastern Pass,"Landslide Face, Act 2 Crack, Echo Chamber"
Far Valley (Act 3),"Birchcliff, Aspen Deep, Hidden Sky-Stones"
Seasonal Composite,All 4 seasons in 2×2 overview
Spring Map,Full-valley spring variation
Summer Map,Full-valley summer variation
Autumn Map,Full-valley autumn variation
Winter Map,Full-valley winter variation
