AssetID,Category,Subcategory,Name,FunctionOrUse,LinkedRole,PriorityTier,SourceFile,SourceSection,Batch,Status,Owner,Notes
BIZ-01,Building,Business,Antler Almanac Co-op,"Farm planning, seed exchange, seasonal advisories",Grower,A,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,1,Planned,,
BIZ-02,Building,Business,Rack and Rafter Works,"Construction, repairs, mill expansion",Builder,A,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,1,Planned,,
BIZ-03,Building,Business,Hoof n Buff Shine Stand,"Hoof care and style buffs",Groomer,C,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,3,Planned,,
BIZ-04,Building,Business,Tine and Trim Mane House,"Mane and antler styling",Barber-Stylist,C,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,3,Planned,,
BIZ-05,Building,Business,Hide and Hem Clothhouse,"Clothing, uniforms, textiles",Tailor-Weaver,B,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,3,Planned,,
BIZ-06,Building,Business,Velvet Tine Bakehouse,"Specialty baked goods and event foods",Baker,B,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,3,Planned,,
BIZ-07,Building,Business,Muck and Measure Market Hall,"Trade, contracts, specialty sales",Trader,A,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,2,Planned,,
BIZ-08,Building,Business,Carved Coin Lodge,"Mucks treasury, minting, civic accounting",Treasurer,B,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,2,Planned,,
BIZ-09,Building,Business,Tine and Twine Outfitters,"Exploration tools and gear",Outfitter-Toolwright,B,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,2,Planned,,
BIZ-10,Building,Business,Pinecone Press Archive,"Maps, records, document study",Archivist-Mapkeeper,B,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,2,Planned,,
BIZ-11,Building,Business,Lick and Leaf Remedies,"Herbal support and recovery",Herbalist-Caregiver,C,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,3,Planned,,
BIZ-12,Building,Business,Green Vial Commons,"Free Moose Water distribution and purity",Water Keeper,A,Documents/Mooseville_Building_Creation_Catalog.md,Business Buildings,1,Planned,,
INF-01,Building,Infrastructure,Town Hall of Tines,"Governance, job assignment, civic decisions",,B,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,4,Planned,,
INF-02,Building,Infrastructure,Commons Kitchen and Free Table,"Free staple food distribution",,A,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,1,Planned,,
INF-03,Building,Infrastructure,Sawmill Yard,"Bulk logs to boards production",,A,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,1,Planned,,
INF-04,Building,Infrastructure,Quarry Works,"Rock extraction and stone shaping",,A,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,2,Planned,,
INF-05,Building,Infrastructure,Brick Kiln Complex,"Clay to brick production",,B,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,2,Planned,,
INF-06,Building,Infrastructure,Smelter and Forge Hall,"Iron refining and nail production",,B,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,2,Planned,,
INF-07,Building,Infrastructure,Granary and Seed Vault,"Food and seed security",,A,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,1,Planned,,
INF-08,Building,Infrastructure,Barn and Pack Stable,"Utility logistics and harness storage",,B,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,4,Planned,,
INF-09,Building,Infrastructure,Reservoir and Irrigation Gatehouse,"Water control for farms and town",,A,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,1,Planned,,
INF-10,Building,Infrastructure,Roadworks Depot,"Path and bridge maintenance",,B,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,4,Planned,,
INF-11,Building,Infrastructure,Watchtower and Storm Bell,"Hazard and weather alerts",,C,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,4,Planned,,
INF-12,Building,Infrastructure,Clinic and Recovery Lodge,"Injury and regression recovery",,C,Documents/Mooseville_Building_Creation_Catalog.md,Core Infrastructure,4,Planned,,
EXP-01,Building,Expansion,Festival Grounds Pavilion,"Holiday events and social minigames",,D,Documents/Mooseville_Building_Creation_Catalog.md,Optional Expansion,4,Planned,,
EXP-02,Building,Expansion,Integration Housing Court,"New citizen intake and settlement",,C,Documents/Mooseville_Building_Creation_Catalog.md,Optional Expansion,4,Planned,,
EXP-03,Building,Expansion,Expedition Gatepost,"Search team launch and return",,D,Documents/Mooseville_Building_Creation_Catalog.md,Optional Expansion,4,Planned,,
EXP-04,Building,Expansion,Craft Mentor Schoolhouse,"NPC training and skill progression",,C,Documents/Mooseville_Building_Creation_Catalog.md,Optional Expansion,4,Planned,,
CST-R01,Costume,Relax,Hearthglow Loungewear,"Home and evening social scenes",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-R02,Costume,Relax,Riverbank Leisure Set,"Day-off exploration and social scenes",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-R03,Costume,Relax,Meadow Picnic Set,"Festivals and public leisure",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-R04,Costume,Relax,Rainy Lodge Comfort Set,"Storm-day indoor scenes",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-R05,Costume,Relax,Moonwatch Night Set,"Night events and glowwatch",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-R06,Costume,Relax,Trail Camp Rest Set,"Post-quest rest scenes",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Relaxing Costumes,3,Planned,,Male+Female variants required
CST-01A,Costume,Role,Grower Style A,"Role uniform style A",Grower,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-01B,Costume,Role,Grower Style B,"Role uniform style B",Grower,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-02A,Costume,Role,Builder Style A,"Role uniform style A",Builder,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-02B,Costume,Role,Builder Style B,"Role uniform style B",Builder,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-03A,Costume,Role,Groomer Style A,"Role uniform style A",Groomer,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-03B,Costume,Role,Groomer Style B,"Role uniform style B",Groomer,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-04A,Costume,Role,Barber-Stylist Style A,"Role uniform style A",Barber-Stylist,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-04B,Costume,Role,Barber-Stylist Style B,"Role uniform style B",Barber-Stylist,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-05A,Costume,Role,Tailor-Weaver Style A,"Role uniform style A",Tailor-Weaver,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-05B,Costume,Role,Tailor-Weaver Style B,"Role uniform style B",Tailor-Weaver,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-06A,Costume,Role,Baker Style A,"Role uniform style A",Baker,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-06B,Costume,Role,Baker Style B,"Role uniform style B",Baker,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-07A,Costume,Role,Trader Style A,"Role uniform style A",Trader,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-07B,Costume,Role,Trader Style B,"Role uniform style B",Trader,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-08A,Costume,Role,Treasurer Style A,"Role uniform style A",Treasurer,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-08B,Costume,Role,Treasurer Style B,"Role uniform style B",Treasurer,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-09A,Costume,Role,Outfitter-Toolwright Style A,"Role uniform style A",Outfitter-Toolwright,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-09B,Costume,Role,Outfitter-Toolwright Style B,"Role uniform style B",Outfitter-Toolwright,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-10A,Costume,Role,Archivist-Mapkeeper Style A,"Role uniform style A",Archivist-Mapkeeper,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-10B,Costume,Role,Archivist-Mapkeeper Style B,"Role uniform style B",Archivist-Mapkeeper,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-11A,Costume,Role,Herbalist-Caregiver Style A,"Role uniform style A",Herbalist-Caregiver,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-11B,Costume,Role,Herbalist-Caregiver Style B,"Role uniform style B",Herbalist-Caregiver,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-12A,Costume,Role,Water Keeper Style A,"Role uniform style A",Water Keeper,B,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-12B,Costume,Role,Water Keeper Style B,"Role uniform style B",Water Keeper,C,Documents/Mooseville_Costume_Creation_Catalog.md,Role and Business Costumes,3,Planned,,Male+Female variants required
CST-PF1,Costume,Player,Early Fieldhand,"Main player farming progression",,A,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,1,Planned,,Male+Female variants required
CST-PF2,Costume,Player,Seasoned Grower,"Main player farming progression",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,2,Planned,,Male+Female variants required
CST-PF3,Costume,Player,Harvest Captain,"Main player farming progression",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,3,Planned,,Male+Female variants required
